64,"08/03/2023;390;A;DJF;0,02878000;0,02894000;177,55000000;178,55000000"
65,"08/03/2023;398;A;GNF;0,00059160;0,00060210;8534,00000000;8685,00000000"
66,"08/03/2023;406;A;MGA;0,00119000;0,00119900;4287,60000000;4316,60000000"
67,"08/03/2023;420;A;RWF;0,00467200;0,00474600;1082,79000000;1099,79000000"
68,"08/03/2023;425;A;CHF;5,46260000;5,46550000;0,94020000;0,94060000"
69,"08/03/2023;440;A;HTG;0,03294000;0,03426000;150,00000000;156,00000000"
70,"08/03/2023;450;A;PYG;0,00071350;0,00071430;7194,17000000;7201,57000000"
71,"08/03/2023;460;A;UAH;0,13910000;0,13920000;36,92900000;36,93400000"
72,"08/03/2023;470;A;JPY;0,03754000;0,03754000;136,87000000;136,88000000"
73,"08/03/2023;482;A;GEL;1,98000000;2,00730000;2,56000000;2,59500000"
74,"08/03/2023;490;A;ALL;0,04720000;0,04756000;108,05000000;108,85000000"
75,"08/03/2023;495;A;HNL;0,20720000;0,20950000;24,52300000;24,80000000"
76,"08/03/2023;500;A;SLL;0,00025090;0,00025370;20255,00000000;20480,00000000"
77,"08/03/2023;503;A;MDL;0,27390000;0,27540000;18,66220000;18,76220000"
78,"08/03/2023;506;A;RON;1,10380000;1,10510000;4,64980000;4,65510000"
79,"08/03/2023;510;A;BGN;2,77030000;2,77260000;1,85340000;1,85470000"
80,"08/03/2023;530;B;GIP;6,07840000;6,08420000;1,18300000;1,18400000"
81,"08/03/2023;535;A;EGP;0,16610000;0,16670000;30,83000000;30,93000000"
82,"08/03/2023;540;B;GBP;6,08200000;6,08320000;1,18370000;1,18380000"
83,"08/03/2023;545;B;FKP;6,07840000;6,08420000;1,18300000;1,18400000"
84,"08/03/2023;560;A;LBP;0,00034210;0,00034260;15000,00000000;15020,00000000"
85,"08/03/2023;570;B;SHP;6,17190000;6,17770000;1,20120000;1,20220000"
86,"08/03/2023;575;A;SYP;0,00204400;0,00204700;2511,00000000;2514,00000000"
87,"08/03/2023;585;A;SZL;0,27710000;0,27730000;18,53230000;18,54030000"
88,"08/03/2023;603;A;LSL;0,27700000;0,27740000;18,52630000;18,54630000"
89,"08/03/2023;608;A;TMT;1,46800000;1,47240000;3,49000000;3,50000000"
90,"08/03/2023;622;A;MZN;0,07905000;0,08126000;63,24000000;65,00000000"
91,"08/03/2023;625;A;ERN;0,33910000;0,34260000;15,00000000;15,15000000"
92,"08/03/2023;630;A;NGN;0,01115000;0,01117000;459,99000000;460,99000000"
93,"08/03/2023;635;A;AOA;0,00993100;0,01020000;503,99200000;517,39200000"
94,"08/03/2023;640;A;TWD;0,16720000;0,16730000;30,71800000;30,72800000"
95,"08/03/2023;642;A;TRY;0,27120000;0,27140000;18,93390000;18,94390000"
96,"08/03/2023;660;A;PEN;1,35610000;1,35890000;3,78150000;3,78890000"
97,"08/03/2023;665;A;BTN;0,06263000;0,06267000;81,99000000;82,04500000"
98,"08/03/2023;670;A;MRO;0,01431000;0,01443000;356,00000000;359,00000000"
99,"08/03/2023;671;A;MRU;0,14740000;0,14890000;34,50010000;34,86010000"
100,"08/03/2023;680;B;TOP;2,10660000;2,23020000;0,41000000;0,43400000"
101,"08/03/2023;685;A;MOP;0,63460000;0,63550000;8,08600000;8,09600000"
102,"08/03/2023;706;A;ARS;0,02569000;0,02569000;200,01000000;200,02000000"
